официант,5,302,Обслуживающий персонал
швейцар,5,280,Обслуживающий персонал
буфетчик,5,278,Обслуживающий персонал
водитель,5,246,Обслуживающий персонал
надзиратель,5,242,Обслуживающий персонал
почтальон,5,226,Обслуживающий персонал
сцепщик,5,198,Обслуживающий персонал
смотритель,5,166,Обслуживающий персонал
снабженец,5,134,Обслуживающий персонал
депо,5,130,Обслуживающий персонал
чистильщик,5,125,Обслуживающий персонал
автомеханик,5,125,Обслуживающий персонал
учитель,6,4635,сфера образования
преподаватель,6,3976,сфера образования
студент,6,3532,сфера образования
учащийся,6,1013,сфера образования
педагог,6,515,сфера образования
ученик,6,512,сфера образования
профессор,6,366,сфера образования
библиотекарь,6,268,сфера образования
доцент,6,267,сфера образования
завуч,6,196,сфера образования
бухгалтер,7,14085,Административные должности
зав,7,11329,Административные должности
начальник,7,11508,Административные должности
заведующий,7,9638,Административные должности
председатель,7,6903,Административные должности
директор,7,4772,Административные должности
зам,7,4399,Административные должности
секретарь,7,3856,Административные должности
помощник,7,3222,Административные должности
инспектор,7,3201,Административные должности
инструктор,7,2461,Административные должности
работник,7,2027,Административные должности
сотрудник,7,1449,Административные должности
заместитель,7,1428,Административные должности
управляющий,7,1362,Административные должности
уполномоченный,7,1139,Административные должности
делопроизводитель,7,900,Административные должности
нквд,7,442,Административные должности
пенсионер,7,437,Административные должности
ревизор,7,403,Административные должности
прокурор,7,181,Административные должности
интендант,7,174,Административные должности
регистратор,7,129,Административные должности
рсфср,7,125,Административные должности
врач,8,1363,врачи
фельдшер,8,1182,врачи
ветврач,9,394,врачи
повар,8,1173,врачи
ветфельдшер,8,516,врачи
санитар,8,855,врачи
парикмахер,8,649,врачи
медсестра,8,625,врачи
инвалид,8,268,врачи
ассистент,8,168,врачи
раздатчик,8,163,врачи
санинструктор,8,133,врачи
мастер,9,6548,интеллигенция
юрисконсульт,9,785,интеллигенция
статистик,9,206,интеллигенция
экономист,9,2301,интеллигенция
руководитель,9,1097,интеллигенция
юрист,9,260,интеллигенция
исполнитель,9,917,интеллигенция
редактор,9,530,интеллигенция
художник,9,502,интеллигенция
конструктор,9,489,интеллигенция
фотограф,9,404,интеллигенция
консультант,9,396,интеллигенция
артист,9,343,интеллигенция
музыкант,9,288,интеллигенция
слушатель,9,282,интеллигенция
статист,9,268,интеллигенция
специалист,9,260,интеллигенция
составитель,9,252,интеллигенция
участник,9,248,интеллигенция
журналист,9,195,интеллигенция
актер,9,148,интеллигенция
историк,9,132,интеллигенция
священник,10,3680,священнослужители
пред,10,611,священнослужители
монах,10,131,священнослужители
монах,10,553,священнослужители
служитель,10,456,священнослужители
дьякон,10,429,священнослужители
псаломщик,10,424,священнослужители
писарь,10,344,священнослужители
мулла,10,224,священнослужители
настоятель,10,204,священнослужители
священнослужитель,10,179,священнослужители
епископ,10,121,священнослужители
